0,27,54,1022,1552,18,30, 1, 1, 1,70 
1,27,54,1022,1552,18,30, 1, 1, 1,70
2,27,53,1021,1561,18,30, 1, 1, 1,70
3,27,53,1022,1578,18,30, 2, 1, 1,70
4,28,56,1021,1582,18,30, 3, 1, 1,70
5,28,59,1021,1586,18,30, 4, 1, 1,70
6,29,63,1021,1588,18,30, 4, 1, 1,70
7,28,63,1022,1480,18,30, 5, 1, 1,70
8,28,63,1022,1602,18,30, 6, 1, 1,70
9,28,62,1022,1599,18,30, 7, 1, 1,70
11,28,61,1022,1601,18,30, 8, 1, 1,70
12,27,61,1022,1609,18,30, 8, 1, 1,70
13,27,60,1022,1594,18,30, 9, 1, 1,70
14,27,60,1024,1568,18,30,10, 1, 1,70
15,28,60,1022,1485,18,30,11, 1, 1,70
16,28,60,1022,1607,18,30,11, 1, 1,70
17,29,49,1022,1599,18,30,12, 1, 1,70
18,29,63,1022,1487,18,30,13, 1, 1,70
19,29,64,1022,1456,18,30,14, 1, 1,70
20,29,63,1021,1485,18,30,15, 1, 1,70
21,29,62,1022,1602,18,30,15, 1, 1,70
22,29,61,1021,1599,18,30,16, 1, 1,70
23,29,60,1022,1604,18,30,17, 1, 1,70
24,29,60,1022,1578,18,30,18, 1, 1,70
25,29,59,1022,1469,18,30,18, 1, 1,70
26,29,58,1022,1605,18,30,19, 1, 1,70
27,29,58,1022,1472,18,30,20, 1, 1,70
28,29,57,1022,1588,18,30,21, 1, 1,70
29,29,57,1022,1605,18,30,22, 1, 1,70
30,29,56,1021,1492,18,30,22, 1, 1,70
31,29,56,1021,1604,18,30,23, 1, 1,70
32,29,55,1021,1494,18,30,24, 1, 1,70
33,29,54,1027,1491,18,30,25, 1, 1,70
34,29,54,1036,1608,18,30,25, 1, 1,70
35,29,53,1022,1604,18,30,26, 1, 1,70
